Protein,True_Family,Predicted_Family,Confidence,Index
WP_062660767,2.A.119,2.A.119,0.9999887,2012
WP_092498738,2.A.119,2.A.119,0.999992,2013
OIO63212,2.A.119,2.A.119,0.99999106,2014
J6H8T7,2.A.120,2.A.120,0.99996924,2026
A8MA30,2.A.120,2.A.120,0.9999651,2027
ARG45194,2.A.120,2.A.120,0.99995136,2028
B8CB30,2.A.122,2.A.122,0.9999938,2041
B5YN56,2.A.122,1.W.9,0.06522268,2042
KKP01475,2.A.122,2.A.122,0.99999154,2043
C3MTK1,2.A.124,2.A.124,0.99996436,2050
X2JQJ2,2.A.124,2.A.124,0.9999665,2051
D2VY17,2.A.125,2.A.125,0.9999962,2056
OLS23552,2.A.129,2.A.129,0.9999809,2069
WP_111865303,2.A.129,2.A.129,0.9999943,2070
WP_086951747,2.A.129,2.A.129,0.9999825,2071
Q0PAK3,2.A.13,1.W.9,0.06522268,2077
K0P0B6,2.A.13,2.A.13,0.999984,2078
RKY32654,2.A.131,2.A.131,0.9999865,2084
RZN41577,2.A.131,2.A.131,0.9999764,2085
Q8EH59,2.A.133,2.A.133,0.9999701,2099
WP_082814648,2.A.133,2.A.133,0.9999739,2100
KIC10202,2.A.133,2.A.133,0.99999297,2101
WP_022597737,2.A.133,2.A.133,0.99997437,2102
Q57251,2.A.14,1.W.9,0.065436326,2107
AOY58527,2.A.14,2.A.14,0.9999589,2108
AJH13638,2.A.15,2.A.15,0.99998426,2122
P31553,2.A.15,1.W.9,0.06522268,2123
B4EY22,2.A.15,1.W.9,0.06522268,2124
B7L6S9,2.A.15,2.A.15,0.9999701,2125
Q9FLV9,2.A.16,2.A.16,0.9999802,2141
Q9A061,2.A.16,2.A.16,0.999964,2142
C4IKV8,2.A.16,1.W.9,0.06528948,2143
WP_057757662,2.A.16,1.W.9,0.06522268,2144
P21608,2.A.24,1.W.9,0.06522268,2152
Q48769,2.A.24,1.W.9,0.06522268,2153
W0WFC6,2.A.25,2.A.25,0.99998915,2162
P30143,2.A.25,2.A.25,0.9999863,2163
F2HK99,2.A.26,2.A.26,0.99997866,2172
P0AD99,2.A.26,2.A.26,0.9999609,2173
B1XKD9,2.A.27,2.A.27,0.9999887,2179
M1QJN9,2.A.27,2.A.27,0.99999666,2180
Q9S1X8,2.A.33,2.A.33,0.9999889,2186
XP_003075324,2.A.33,2.A.33,0.99999964,2187
Q9I2S5,2.A.34,2.A.34,0.9999988,2190
Q8EI43,2.A.35,2.A.35,0.9999473,2201
Q0PHV8,2.A.35,2.A.35,0.99999344,2202
Q838P8,2.A.35,2.A.35,0.9999881,2203
P33021,2.A.41,2.A.41,0.9999212,2216
Q9KPL5,2.A.41,2.A.41,0.9999254,2217
A1Z7N3,2.A.41,2.A.41,0.999987,2218
O00337,2.A.41,2.A.41,0.99998295,2219
P37660,2.A.42,2.A.42,0.99997973,2230
P42628,2.A.42,2.A.42,0.999995,2231
P63340,2.A.42,2.A.42,0.99985707,2232
UYL04267,2.A.45,2.A.45,0.999587,2242
Q819S9,2.A.45,2.A.45,0.99994326,2243
A1SPN6,2.A.45,2.A.45,0.9999826,2244
P76103,2.A.46,2.A.46,0.99994767,2253
Q88I34,2.A.46,1.W.9,0.06522268,2254
7TAK_A,2.A.46,2.A.46,0.9998191,2255
A8BIM9,2.A.48,2.A.48,0.9999919,2261
O45166,2.A.48,2.A.48,0.9999654,2262
C1D347,2.A.52,2.A.52,0.9998977,2275
C7PI41,2.A.52,1.W.9,0.06522268,2276
Q7NN80,2.A.52,1.W.9,0.06522268,2277
A8LPG6,2.A.58,2.A.58,0.9993864,2290
P54463,2.A.58,1.W.9,0.06522268,2291
Q0W3W9,2.A.58,2.A.58,0.99983,2292
RLG13389,2.A.58,2.A.58,0.99989986,2293
G2HQN2,2.A.61,1.W.9,0.06533399,2300
C0QDE6,2.A.61,2.A.61,0.9999927,2301
A5F120,2.A.62,2.A.62,0.9999963,2307
WP_020086767,2.A.62,2.A.62,0.99999845,2308
Q183S2,2.A.68,2.A.68,0.99998844,2313
W2qlk8,2.A.71,2.A.71,0.99998343,2324
Q9XIQ7,2.A.71,2.A.71,0.99998033,2325
Q8IBB7,2.A.71,2.A.71,0.999985,2326
Q9M7K4,2.A.72,2.A.72,0.9999945,2340
Q9FE38,2.A.72,2.A.72,0.9999665,2341
Q19A13,2.A.72,2.A.72,0.9999931,2342
O49423,2.A.72,2.A.72,0.999998,2343
F8D4C5,2.A.73,2.A.73,0.9999995,2346
C3XY94,2.A.74,2.A.74,0.99997854,2359
C3XY89,2.A.74,2.A.74,0.99998796,2360
C3XYE5,2.A.74,2.A.74,0.99998415,2361
E2B9N7,2.A.74,2.A.74,0.9999639,2362
B5U2Z3,2.A.75,2.A.75,0.99999976,2366
Q8GMZ9,2.A.76,2.A.76,0.99976975,2380
Q6TNA0,2.A.76,2.A.76,0.9999968,2381
V9RYY0,2.A.76,2.A.76,0.9999963,2382
A3U6A7,2.A.76,2.A.76,0.99998415,2383
Q3IPU1,2.A.77,2.A.77,0.9999826,2388
Q8RFA1,2.A.8,2.A.8,0.99998903,2401
Q81E21,2.A.8,2.A.8,0.9999924,2402
H7C6B2,2.A.8,2.A.8,0.99999154,2403
O52005,2.A.81,2.A.81,0.99997675,2410
A6LP55,2.A.81,2.A.81,0.9999696,2411
A9DHE6,2.A.83,2.A.83,0.9999865,2413
WP_147663164,2.A.87,2.A.87,0.9999865,2426
TET29359,2.A.87,2.A.87,0.99998856,2427
AFN04413,2.A.87,2.A.87,0.9999894,2428
Q54IJ2,2.A.92,2.A.92,0.9999831,2437
Q94AN2,2.A.92,2.A.92,0.9999894,2438
Q9UBH6,2.A.94,2.A.94,0.9999976,2444
P16151,2.A.94,2.A.94,0.9999852,2445
P25743,2.A.95,1.W.9,0.06522268,2452
B8HLY6,2.A.95,2.A.95,0.9999962,2453
NLT21186,2.A.96,2.A.96,0.9999957,2467
Q460G9,2.A.96,2.A.96,0.9999752,2468
GAW00410,2.A.96,2.A.96,0.9999769,2469
KXS96282,2.A.96,2.A.96,0.99997485,2470
Q6P1Q0,2.A.97,2.A.97,0.9999981,2477
Q8I1R5,2.A.97,2.A.97,0.9999988,2478
WP_162301253,2.A.99,2.A.99,0.99996066,2485
WP_149777770,2.A.99,2.A.99,0.9999795,2486
Q9UP52,2.B.93,2.B.93,0.7905143,2488
A0BM91,2.D.1,2.D.1,0.99999845,2496
Q9VC05,2.D.1,2.D.1,0.9999938,2497
O70031,3.A.12,3.A.12,0.9999975,2504
Q3LAJ2,3.A.12,3.A.12,0.99999905,2505
YP_008130281,3.A.13,3.A.13,0.99999845,2508
Q9Y276,3.A.28,3.A.28,0.9999976,2513
KOO28456,3.E.3,3.E.3,0.99999464,2522
WP_055898914,3.E.3,3.E.3,0.9999851,2523
P50416,4.C.2,4.C.2,0.99999976,2526
S7VV85,4.E.1,4.E.1,0.9999975,2531
Q5CWX6,4.E.1,4.E.1,0.9999862,2532
E8V3S2,4.F.1,4.F.1,0.9999685,2545
D6I8Y6,4.F.1,4.F.1,0.9999664,2546
D8J2B2,4.F.1,4.F.1,0.999966,2547
OIO15329,4.F.1,4.F.1,0.9999299,2548
WP_046728225,4.H.1,4.H.1,0.9999925,2558
WP_083289127,4.H.1,4.H.1,0.99999714,2559
VDG77260,4.H.1,4.H.1,0.99999714,2560
Q9KV73,5.B.10,5.B.10,1.0,2561
RWX50390,5.B.15,5.B.15,0.99999964,2562
G9NAJ2,5.B.2,5.B.2,0.99998367,2578
EQK99033,5.B.2,5.B.2,0.9999658,2579
Q7SC62,5.B.2,5.B.2,0.99998045,2580
KHN35905,5.B.2,5.B.2,0.99994874,2581
PIY59600,5.B.6,5.B.6,0.999969,2586
D7C9K8,5.B.7,5.B.7,0.9999968,2590
P0AE06,8.A.1,1.W.9,0.06522811,2607
P76397,8.A.1,8.A.1,0.999936,2608
P37636,8.A.1,8.A.1,0.9999726,2609
Q7UZ72,8.A.1,8.A.1,0.9999615,2610
P46482,8.A.1,8.A.1,0.9999788,2611
Q9Y6H6,8.A.10,8.A.10,0.99999774,2617
Q9WTW3,8.A.10,8.A.10,0.99996305,2618
XP_020894714,8.A.101,8.A.101,0.9999896,2622
U6GPW6,8.A.102,8.A.102,0.9998846,2635
XP_004833479,8.A.102,8.A.102,0.9999236,2636
CUV07185,8.A.102,8.A.102,0.99982774,2637
PJF17748,8.A.103,8.A.103,0.9999372,2649
XP_010699644,8.A.103,8.A.103,0.99998784,2650
Q22DV9,8.A.103,8.A.103,0.9999455,2651
P53355,8.A.104,1.W.9,0.06522268,2664
Q9BXM7,8.A.104,1.W.9,0.06522268,2665
NP_001257414,8.A.104,1.W.9,0.06522268,2666
Q6MZM0,8.A.105,8.A.105,0.9999908,2669
Q9H902,8.A.108,8.A.108,0.99996376,2677
Q96HR9,8.A.108,8.A.108,0.99999213,2678
WP_130079951,8.A.11,8.A.11,0.9999987,2681
CBJ48530,8.A.111,8.A.111,0.99996686,2689
XP_022310796,8.A.111,8.A.111,0.9924183,2690
Q8N682,8.A.113,8.A.113,0.9999919,2698
Q6UX65,8.A.113,8.A.113,0.99998856,2699
KAF6005406,8.A.115,8.A.115,0.9997296,2716
XP_001748139,8.A.115,8.A.115,0.99997807,2717
TPX40645,8.A.115,8.A.115,0.99998534,2718
WBW72430,8.A.115,8.A.115,0.99997604,2719
Q9VIM4,8.A.116,8.A.116,0.99999464,2723
Q9XTG1,8.A.117,8.A.117,0.99997234,2728
Q9NZ94,8.A.117,8.A.117,0.99998665,2729
GAV02799,8.A.118,8.A.118,0.9999962,2738
XP_019853507,8.A.118,8.A.118,0.9999976,2739
P37249,8.A.12,8.A.12,0.9999975,2741
Q9W145,8.A.120,8.A.120,0.99986494,2749
Q96DR4,8.A.120,1.W.9,0.065439284,2750
Q20687,8.A.121,8.A.121,0.99999905,2755
XP_010568056,8.A.122,8.A.122,0.9999976,2760
XP_022318076,8.A.122,8.A.122,0.9999738,2761
Q9NQ34,8.A.123,8.A.123,0.9999831,2768
WP_031585819,8.A.123,8.A.123,0.9998123,2769
P57088,8.A.124,8.A.124,0.9999808,2772
Q96KA5,8.A.125,8.A.125,0.9999976,2777
XP_027796271,8.A.126,8.A.126,0.99999225,2780
XP_002606196,8.A.127,8.A.127,0.99998474,2787
XP_030900971,8.A.127,8.A.127,0.9999958,2788
XP_013349430,8.A.129,8.A.129,0.99999654,2794
GBG75892,8.A.129,8.A.129,0.999998,2795
O42668,8.A.13,8.A.13,1.0,2796
P83748,8.A.131,8.A.131,0.9998679,2809
P00738,8.A.131,8.A.131,0.99996793,2810
B0FXM1,8.A.131,8.A.131,0.9998921,2811
Q9BUZ4,8.A.133,8.A.133,0.9998491,2822
WGW18136,8.A.133,1.W.9,0.06522268,2823
Q9C039,8.A.133,1.W.9,0.06522268,2824
ORZ11951,8.A.134,8.A.134,0.99999595,2829
PSN51050,8.A.135,8.A.135,0.99998665,2836
MPD02914,8.A.135,8.A.135,0.999992,2837
Q96B67,8.A.136,8.A.136,0.9999443,2848
Q9H3M7,8.A.136,8.A.136,0.999944,2849
Q20232,8.A.136,8.A.136,0.94792366,2850
SMO36342,8.A.139,8.A.139,0.9999709,2854
Q9NPA1,8.A.14,8.A.14,0.9999987,2858
XP_027225662,8.A.140,8.A.140,0.9999813,2863
KAF5277533,8.A.140,8.A.140,0.99954236,2864
R1ELF4,8.A.141,8.A.141,0.9999982,2869
Q6IEE7,8.A.143,8.A.143,1.0,2874
WP_144051564,8.A.144,8.A.144,0.99998665,2879
KAF2077471,8.A.145,8.A.145,0.99999654,2884
P30041,8.A.147,8.A.147,0.9999944,2887
B8B381,8.A.15,1.W.9,0.065832056,2891
WP_008488490,8.A.150,8.A.150,0.99999654,2895
O43865,8.A.151,8.A.151,1.0,2896
WP_181340520,8.A.153,8.A.153,0.99999905,2901
MBC7395593,8.A.153,8.A.153,0.9999982,2902
XP_034038246,8.A.154,8.A.154,0.9996425,2907
WP_082825104,8.A.155,8.A.155,0.9999968,2912
KAF5827728,8.A.155,8.A.155,0.9999926,2913
XP_018009461,8.A.157,8.A.157,0.9999981,2918
XP_032802017,8.A.159,1.W.9,0.06522268,2929
XP_006478623,8.A.159,8.A.159,0.999997,2930
PWZ10394,8.A.159,8.A.159,0.99999475,2931
Q96GS6,8.A.161,8.A.161,1.0,2932
Q16790,8.A.164,8.A.164,1.0,2933
VDL89025,8.A.166,8.A.166,0.9999641,2943
CAF2143533,8.A.166,8.A.166,0.99997044,2944
XP_028411903,8.A.166,8.A.166,0.9999876,2945
XP_011530207,8.A.168,8.A.168,0.99999774,2949
GAW06118,8.A.169,8.A.169,0.99998343,2958
SSD60863,8.A.169,8.A.169,0.99997413,2959
XP_001229202,8.A.169,8.A.169,0.9999585,2960
XP_027863911,8.A.17,8.A.17,0.9999393,2972
AAO89003,8.A.17,8.A.17,0.99995863,2973
Q15116,8.A.17,8.A.17,0.99993515,2974
Q9NXB0,8.A.170,8.A.170,1.0,2975
CAF0816190,8.A.171,8.A.171,0.99999976,2979
RLG19162,8.A.172,1.W.9,0.06522268,2988
HHM12341,8.A.172,1.W.9,0.06522268,2989
WP_165159837,8.A.172,8.A.172,0.9999943,2990
Q9H4B7,8.A.173,8.A.173,0.99999833,2992
HFO91905,8.A.174,8.A.174,1.0,2997
MBT5252923,8.A.174,8.A.174,0.9999993,2998
KAG2726972,8.A.175,8.A.175,0.9999889,3004
XP_020163427,8.A.175,8.A.175,0.9999908,3005
WP_054576892,8.A.176,8.A.176,0.99999917,3009
UQL51144,8.A.177,8.A.177,0.9999945,3017
P50591,8.A.177,8.A.177,0.99999654,3018
KAG6546873,8.A.178,8.A.178,0.9999782,3025
XP_013762242,8.A.178,1.C.132,0.99999464,3026
Q8IZS8,8.A.18,8.A.18,0.999998,3031
Q7Z3S7,8.A.18,8.A.18,0.9999988,3032
WP_165133333,8.A.180,8.A.180,0.9997484,3035
VZI44309,8.A.181,8.A.181,0.9999999,3039
KAH8130706,8.A.182,8.A.182,0.9999993,3042
PSC71052,8.A.183,8.A.183,0.9999995,3047
ETW46879,8.A.183,8.A.183,0.99999046,3048
XP_020432384,8.A.185,8.A.185,0.99999416,3054
L0R6Q1,8.A.185,8.A.185,0.9999957,3055
O00592,8.A.187,8.A.187,1.0,3056
XP_001748040,8.A.188,8.A.188,0.9979498,3065
OMJ82451,8.A.188,8.A.188,0.9999974,3066
KJE94133,8.A.189,1.W.9,0.06532169,3071
Q4V5U6,8.A.19,8.A.19,0.9994778,3076
QID84842,8.A.190,8.A.190,0.99999785,3080
RMZ54818,8.A.191,8.A.191,0.9999957,3088
PXF60217,8.A.191,8.A.191,0.9999783,3089
NP_001286236,8.A.192,8.A.192,0.99998367,3098
F4IVL6,8.A.192,8.A.192,0.99998665,3099
KAG8010605,8.A.193,8.A.193,0.9999993,3103
XP_029997346,8.A.194,1.W.9,0.06522268,3110
KAG2487039,8.A.194,8.A.194,0.9999993,3111
XP_031756194,8.A.196,8.A.196,0.9999987,3116
CDW53771,8.A.197,8.A.197,0.9999877,3120
P0AA95,8.A.2,8.A.2,0.9999976,3123
E1ZNI7,8.A.20,8.A.20,0.99997604,3129
XP_005646384,8.A.20,8.A.20,0.99996305,3130
WP_075967942,8.A.201,8.A.201,0.9999387,3139
MBS4889330,8.A.201,8.A.201,0.999866,3140
TWW75268,8.A.202,8.A.202,0.99999917,3145
Q6PD74,8.A.203,8.A.203,1.0,3146
NP_001336488,8.A.204,8.A.204,0.9999827,3152
P32926,8.A.204,8.A.204,0.9999621,3153
OLP90965,8.A.205,8.A.205,0.99999917,3159
SCM17177,8.A.205,8.A.205,0.99994063,3160
XP_045182095,8.A.206,8.A.206,0.9999827,3164
XP_033734125,8.A.208,8.A.208,0.99993813,3172
XP_048394075,8.A.208,8.A.208,0.9999764,3173
Q9VKM7,8.A.209,8.A.209,0.9999441,3175
RHY26985,8.A.210,8.A.210,0.9984357,3179
XP_031323901,8.A.211,8.A.211,0.99999416,3182
WP_196367168,8.A.212,8.A.212,1.0,3186
MAH74360,8.A.213,8.A.213,0.9999174,3191
MBL4747290,8.A.213,8.A.213,0.9999976,3192
XP_028399918,8.A.214,8.A.214,0.9999982,3197
XP_035489110,8.A.215,8.A.215,0.99998045,3200
KAJ3260049,8.A.216,8.A.216,0.9999628,3205
P38736,8.A.216,8.A.216,0.9999658,3206
O00305,8.A.22,8.A.22,0.99976665,3210
EKF99199,8.A.221,8.A.221,0.99995947,3218
TFJ87285,8.A.221,8.A.221,0.9999919,3219
P42858,8.A.222,8.A.222,1.0,3220
AAG25642,8.A.223,8.A.223,0.9999982,3224
KAG7342390,8.A.225,8.A.225,0.9999976,3228
KAI6194636,8.A.226,8.A.226,0.9999844,3233
NP_651733,8.A.226,8.A.226,0.99999964,3234
GFO46191,8.A.227,8.A.227,0.99998903,3241
KAI8730524,8.A.227,8.A.227,0.99999774,3242
WP_076222359,8.A.228,8.A.228,0.99998975,3244
RAS33480,8.A.229,8.A.229,1.0,3246
KAF0027435,8.A.230,8.A.230,0.9989827,3251
XP_017548242,8.A.237,8.A.237,1.0,3254
Q9UBP9,8.A.238,8.A.238,0.99836534,3257
H3CPN3,8.A.239,8.A.239,0.9999988,3259
G3VXE4,8.A.240,8.A.240,0.99997973,3261
Q9Y4G6,8.A.25,8.A.25,0.99987924,3268
Q9BQL6,8.A.25,8.A.25,0.99999976,3269
ANK58183,8.A.26,8.A.26,0.9999099,3275
P56539,8.A.26,8.A.26,0.99998975,3276
H2L0H3,8.A.27,8.A.27,0.999985,3284
CZT62675,8.A.27,8.A.27,0.9999958,3285
Q9Z2Y3,8.A.29,8.A.29,1.0,3286
Q09098,8.A.31,8.A.31,0.9999963,3290
Q8I6Z5,8.A.32,8.A.32,0.9999949,3295
AGZ86590,8.A.33,1.W.9,0.06580371,3300
CCE37669,8.A.35,8.A.35,1.0,3305
POE55702,8.A.37,8.A.37,0.9999912,3310
P91193,8.A.38,8.A.38,0.9999976,3312
XP_012918761,8.A.39,8.A.39,0.99997187,3315
P43111,8.A.4,8.A.4,0.9983455,3318
Q10063,8.A.41,8.A.41,0.9999857,3325
B9WHV4,8.A.41,8.A.41,0.99999416,3326
R4G5U4,8.A.42,8.A.42,0.9999778,3331
R5LHN3,8.A.42,8.A.42,0.9933407,3332
E9AL21,8.A.44,8.A.44,0.9999751,3337
A8JGI1,8.A.44,8.A.44,0.9999746,3338
A9UTZ4,8.A.45,8.A.45,0.9999908,3345
F2U0C1,8.A.45,8.A.45,0.99995434,3346
G8TGS7,8.A.46,8.A.46,0.9999895,3358
D1JJ68,8.A.46,8.A.46,0.99997365,3359
BAE20200,8.A.46,8.A.46,0.99998426,3360
I9WSV7,8.A.48,8.A.48,0.99998295,3367
MBV8416225,8.A.48,8.A.48,0.99998534,3368
AKM80894,8.A.49,8.A.49,0.99996996,3371
P77735,8.A.5,1.W.9,0.06546465,3377
P76187,8.A.5,1.W.9,0.06544303,3378
P0AAW9,8.A.50,8.A.50,1.0,3379
P27487,8.A.51,8.A.51,0.99998903,3384
Q12884,8.A.51,8.A.51,0.99998856,3385
Q7XZ04,8.A.52,8.A.52,0.9999993,3391
O60260,8.A.52,1.W.9,0.06522268,3392
V8NZN5,8.A.53,8.A.53,0.99999666,3395
Q1ZYL8,8.A.55,8.A.55,0.99999034,3400
KAG7176625,8.A.57,8.A.57,0.999998,3405
XP_023218887,8.A.57,8.A.57,0.99999666,3406
T1FSM0,8.A.58,8.A.58,0.9999038,3422
D5T4Y6,8.A.58,8.A.58,0.99982697,3423
Q9H7V2,8.A.58,8.A.58,0.9999765,3424
O35449,8.A.58,8.A.58,0.9999771,3425
OLS30636,8.A.59,8.A.59,0.99999964,3428
F7FKR6,8.A.60,8.A.60,0.9999975,3431
Q9C7D7,8.A.61,8.A.61,0.99995685,3440
Q8TBE1,8.A.61,8.A.61,0.9999727,3441
L7ILZ6,8.A.61,8.A.61,0.99996567,3442
W6UD82,8.A.62,8.A.62,0.99997795,3446
O02109,8.A.63,8.A.63,0.9999908,3451
E6TG36,8.A.63,8.A.63,0.99998,3452
Q4UF74,8.A.65,8.A.65,0.999998,3458
V7PSH7,8.A.65,8.A.65,0.9999969,3459
Q9UPN3,8.A.66,1.W.9,0.06530214,3466
Q01082,8.A.66,1.W.9,0.065379106,3467
Q99220,8.A.67,8.A.67,0.9999926,3472
NP_001122097,8.A.68,8.A.68,0.9999807,3486
KAF7834676,8.A.68,8.A.68,0.99987006,3487
XP_020044853,8.A.68,8.A.68,0.9999937,3488
XP_022972624,8.A.68,8.A.68,0.99986446,3489
V9L7R9,8.A.69,8.A.69,0.99999905,3492
H1XXY9,8.A.7,8.A.7,0.99999404,3497
A1RZ61,8.A.7,8.A.7,0.99997747,3498
KND87996,8.A.70,8.A.70,0.99997604,3503
A9V5D8,8.A.70,8.A.70,0.99990284,3504
E3M513,8.A.71,8.A.71,0.9999993,3508
AIA09566,8.A.72,8.A.72,0.9999943,3511
G3AKL2,8.A.73,8.A.73,0.99997485,3520
P81450,8.A.73,8.A.73,0.9999765,3521
O14894,8.A.75,8.A.75,0.9999901,3526
P30408,8.A.75,8.A.75,0.99999,3527
M0ZJN1,8.A.76,8.A.76,0.99999166,3532
Q14TH3,8.A.77,8.A.77,0.9999974,3542
NP_080609,8.A.77,8.A.77,0.99999714,3543
P01057,8.A.77,8.A.77,0.99999666,3544
XP_054180400,8.A.78,8.A.78,0.99999905,3546
A2SGV2,8.A.79,1.W.9,0.06545863,3549
A1RZ60,8.A.8,8.A.8,0.99998975,3555
O50515,8.A.8,8.A.8,0.9999832,3556
P28783,8.A.81,1.W.9,0.06522268,3561
XP_055072748,8.A.83,8.A.83,0.9999976,3569
XP_017264102,8.A.83,8.A.83,0.99998975,3570
Q9BXS4,8.A.84,8.A.84,0.9999975,3574
NP_648847,8.A.88,8.A.88,0.99996996,3584
P30101,8.A.88,8.A.88,0.9999751,3585
AAH93062,8.A.88,8.A.88,0.9999927,3586
Q9VHX9,8.A.9,1.W.9,0.06522268,3592
Q5DDT5,8.A.9,1.W.9,0.06522268,3593
Q9BT76,8.A.90,8.A.90,0.99998236,3598
T2F9S8,8.A.90,8.A.90,0.9999802,3599
Q12846,8.A.91,8.A.91,0.9999596,3611
A0AVG3,8.A.91,8.A.91,0.99984765,3612
P93654,8.A.91,1.W.9,0.06522268,3613
G3X0R8,8.A.93,8.A.93,0.99999774,3620
Q9BZW5,8.A.93,8.A.93,0.99999845,3621
SBP60566,8.A.94,8.A.94,0.9999745,3626
Q7Z5L3,8.A.94,8.A.94,0.99998426,3627
P62258,8.A.98,1.W.9,0.06522268,3636
P61981,8.A.98,1.W.9,0.06522268,3637
V4QS44,8.A.98,1.W.9,0.06522268,3638
WP_026610930,8.A.99,8.A.99,0.9999752,3642
P45667,8.B.1,8.B.1,0.99993813,3656
P60266,8.B.1,8.B.1,0.99996614,3657
TKW02011,8.B.1,8.B.1,0.99998844,3658
AME17663,8.B.1,1.W.9,0.06544555,3659
P84919,8.B.11,8.B.11,0.99999833,3663
P86716,8.B.12,8.B.12,1.0,3668
XP_020356628,8.B.13,8.B.13,0.9999883,3675
O43291,8.B.13,8.B.13,0.9998641,3676
C3TS07,8.B.17,8.B.17,0.99999654,3683
B1B5I9,8.B.17,8.B.17,0.9999976,3684
C0HKG8,8.B.19,8.B.19,0.9999676,3693
P81790,8.B.19,8.B.19,0.9999918,3694
AED89561,8.B.23,1.C.74,0.90332925,3700
P81782,8.B.23,1.C.74,0.8822569,3701
G3CKQ5,8.B.25,8.B.25,0.99998486,3710
G8XTD4,8.B.25,8.B.25,0.99997306,3711
Q80KL8,8.B.25,8.B.25,0.9999827,3712
ATF27819,8.B.28,8.B.28,0.64769566,3720
AXL93751,8.B.28,8.B.4,0.5011118,3721
B1P1H2,8.B.3,8.B.5,0.9867964,3727
Q7YT39,8.B.3,8.B.5,0.8342715,3728
P55817,8.B.30,8.B.30,0.9999888,3731
Q09470,8.B.31,8.B.31,0.99999976,3732
P0CY81,8.B.32,8.B.32,0.99992526,3746
P0CAQ2,8.B.32,8.B.32,0.99952435,3747
P0C1X0,8.B.32,8.B.32,0.9999151,3748
P0C2C5,8.B.32,8.B.32,0.9997664,3749
P0C666,8.B.4,8.B.28,0.61571443,3763
ATF27565,8.B.4,8.B.28,0.6195419,3764
Q9BP53,8.B.4,8.B.28,0.6211223,3765
WEQ50348,8.B.4,8.B.28,0.62317383,3766
AKZ19080,8.B.42,8.B.42,0.9999944,3769
WP_125548623,8.B.43,8.B.43,0.9999919,3775
WP_137635425,8.B.43,8.B.43,0.9999908,3776
P56852,8.B.5,8.B.3,0.54336804,3785
P60590,8.B.5,8.B.5,0.72570497,3786
M5AY63,8.B.5,8.B.3,0.6292043,3787
B8XH25,8.B.7,8.B.7,0.99999905,3792
P0C194,8.B.8,8.B.8,0.99999225,3800
P0C8R1,8.B.8,8.B.8,0.9999839,3801
B0X6A3,8.B.9,1.W.9,0.06522268,3807
P48060,8.B.9,8.B.9,0.99999833,3808
XP_005472026,9.A.1,1.W.9,0.06522268,3815
X2JDY8,9.A.1,1.W.9,0.06522268,3816
Q9V9S0,9.A.16,9.A.16,0.9999925,3824
Q9UQV4,9.A.16,9.A.16,0.9999974,3825
Q986E2,9.A.18,9.A.18,0.9999939,3830
XP_044548243,9.A.19,9.A.19,0.9999659,3837
PYI33190,9.A.19,9.A.19,0.9999901,3838
Q9HVM8,9.A.21,9.A.21,0.99962735,3840
A9NFH9,9.A.23,9.A.23,0.9999993,3842
Q59Q40,9.A.26,9.A.26,0.99999917,3846
A4XHF2,9.A.28,9.A.28,0.99999416,3850
WP_093835186,9.A.32,9.A.32,0.9999733,3863
WP_173774957,9.A.32,9.A.32,0.9998785,3864
WP_090409123,9.A.32,9.A.32,0.99996257,3865
Q9KW03,9.A.33,9.A.33,0.9999995,3866
CAF0919544,9.A.35,9.A.35,0.9999875,3872
Q8I4H9,9.A.35,9.A.35,0.99998784,3873
Q9NRY6,9.A.36,9.A.36,0.9999839,3879
Q8IJH8,9.A.36,9.A.36,0.9999852,3880
Q1WF75,9.A.37,9.A.37,0.9999995,3881
S6A3A3,9.A.4,9.A.4,0.99947196,3887
Q73GS7,9.A.4,9.A.4,0.9999987,3888
KQJ85610,9.A.43,9.A.43,0.9999795,3901
Q8LPS2,9.A.43,9.A.43,0.9999932,3902
XP_015973699,9.A.43,9.A.43,0.9999827,3903
D4GQY8,9.A.45,9.A.45,0.9999949,3905
Q54NS7,9.A.49,9.A.49,0.9999752,3915
Q5CW48,9.A.49,9.A.49,0.9999956,3916
P53633,9.A.49,9.A.49,0.9999924,3917
D2YRH2,9.A.5,9.A.5,0.9999658,3923
P39379,9.A.5,9.A.5,0.99992883,3924
M1V9R7,9.A.54,9.A.54,0.9999939,3933
Q00X06,9.A.54,9.A.54,0.99999726,3934
Q68DH5,9.A.54,9.A.54,0.9999925,3935
Q12466,9.A.57,9.A.57,0.9999808,3945
P48231,9.A.57,9.A.57,0.9999813,3946
Q03640,9.A.57,9.A.57,0.99997973,3947
H1A8I6,9.A.59,9.A.59,0.99999976,3950
A0DG78,9.A.6,9.A.6,0.99992514,3952
I8AJB9,9.A.66,9.A.66,1.0,3955
WP_101143913,9.A.7,9.A.7,0.9999951,3961
WP_061080484,9.A.7,9.A.7,0.99999046,3962
P00505,9.A.70,9.A.70,1.0,3963
Q99445,9.A.71,9.A.71,1.0,3964
RJU95109,9.A.76,1.W.9,0.06546803,3974
KAE8977401,9.A.76,9.A.76,0.9999994,3975
RLT34927,9.A.76,1.W.9,0.06522268,3976
KAF4923135,9.A.78,9.A.78,0.9999982,3981
XP_002765820,9.A.79,9.A.79,0.99996305,3985
XP_011674862,9.A.80,9.A.80,0.999998,3990
